,n-nodes,nd-edges,nu-edges,tau-metric,tau-ultrametric,tau-avg-metric,tau-avg-ultrametric,tau-max-metric,tau-max-ultrametric
business-faculty-min,113.0,,,,,,,,
business-faculty-max,94.0,,,,,,,,
business-faculty-avg,94.0,,,,,,,,
business-faculty-harm,113.0,,,,,,,,
cs-faculty-min,206.0,,,,,,,,
cs-faculty-max,167.0,,,,,,,,
cs-faculty-avg,167.0,,,,,,,,
cs-faculty-harm,206.0,,,,,,,,
history-faculty-min,145.0,,,,,,,,
history-faculty-max,116.0,,,,,,,,
history-faculty-avg,116.0,,,,,,,,
history-faculty-harm,145.0,,,,,,,,
caviar-proj-min,110.0,,,,,,,,
caviar-proj-max,66.0,,,,,,,,
caviar-proj-avg,66.0,,,,,,,,
caviar-proj-harm,110.0,,,,,,,,
celegans-her-min,313.0,,,,,,,,
celegans-her-max,249.0,,,,,,,,
celegans-her-avg,249.0,,,,,,,,
celegans-her-harm,313.0,,,,,,,,
celegans-male-min,328.0,,,,,,,,
celegans-male-max,289.0,,,,,,,,
celegans-male-avg,289.0,,,,,,,,
celegans-male-harm,328.0,,,,,,,,
colombia-calls-min,863.0,,,,,,,,
colombia-calls-max,863.0,,,,,,,,
colombia-calls-avg,863.0,,,,,,,,
colombia-calls-harm,863.0,,,,,,,,
colombia-mobility-min,863.0,,,,,,,,
colombia-mobility-max,863.0,,,,,,,,
colombia-mobility-avg,863.0,,,,,,,,
colombia-mobility-harm,863.0,,,,,,,,
mobility-manizales-min,57.0,,,,,,,,
mobility-manizales-max,57.0,,,,,,,,
mobility-manizales-avg,57.0,,,,,,,,
mobility-manizales-harm,57.0,,,,,,,,
mobility-medellin-min,413.0,,,,,,,,
mobility-medellin-max,413.0,,,,,,,,
mobility-medellin-avg,413.0,,,,,,,,
mobility-medellin-harm,413.0,,,,,,,,
tennis-loss-min,4245.0,,,,,,,,
tennis-loss-max,2428.0,,,,,,,,
tennis-loss-avg,2428.0,,,,,,,,
tennis-loss-harm,4245.0,,,,,,,,
yeast-grn-min,6216.0,,,,,,,,
yeast-grn-max,1229.0,,,,,,,,
yeast-grn-avg,1229.0,,,,,,,,
yeast-grn-harm,6216.0,,,,,,,,
bike-sharing-min,725.0,,,,,,,,
bike-sharing-max,723.0,,,,,,,,
bike-sharing-avg,723.0,,,,,,,,
bike-sharing-harm,725.0,,,,,,,,
giraffe-min,6.0,,,,,,,,
giraffe-max,6.0,,,,,,,,
giraffe-avg,6.0,,,,,,,,
giraffe-harm,6.0,,,,,,,,
comorbidity-min,95.0,,,,,,,,
comorbidity-max,95.0,,,,,,,,
comorbidity-avg,95.0,,,,,,,,
comorbidity-harm,95.0,,,,,,,,
phone-calls-min,322.0,,,,,,,,
phone-calls-max,114.0,,,,,,,,
phone-calls-avg,114.0,,,,,,,,
phone-calls-harm,322.0,,,,,,,,
us-airports-min,1075.0,,,,,,,,
us-airports-max,995.0,,,,,,,,
us-airports-avg,995.0,,,,,,,,
us-airports-harm,1075.0,,,,,,,,
DDI-0,412.0,2966.0,1483.0,0.5900202292650034,0.4049224544841537,0.4598786244099798,0.2771409305461901,0.4389750505731625,0.2784895482130816
us-weblinks-min,42800.0,,,,,,,,
us-weblinks-max,27725.0,,,,,,,,
us-weblinks-avg,27725.0,,,,,,,,
us-weblinks-harm,42800.0,,,,,,,,
host-pathogen-min,10578.0,,,,,,,,
host-pathogen-max,1.0,,,,,,,,
host-pathogen-avg,1.0,,,,,,,,
host-pathogen-harm,10578.0,,,,,,,,
