,n-nodes,n-edges,n-max-edges,tau-metric,tau-max-metric,tau-avg-metric,tau-ultrametric,tau-max-ultrametric,tau-avg-ultrametric
business-faculty,94.0,2842.0,488,0.3652357494722026,0.6290983606557377,0.6618852459016393,0.0946516537649542,0.1762295081967213,0.1721311475409836
cs-faculty,167.0,2384.0,188,0.5285234899328859,0.824468085106383,0.8776595744680851,0.2202181208053691,0.4787234042553192,0.4574468085106383
history-faculty,116.0,1897.0,162,0.430152872957301,0.7716049382716049,0.8148148148148148,0.2087506589351608,0.4259259259259259,0.3641975308641975
caviar-proj,66.0,242.0,90,0.6611570247933884,0.7555555555555555,0.7444444444444445,0.5991735537190083,0.6888888888888889,0.6888888888888889
celegans-her,249.0,3046.0,568,0.5531845042678923,0.823943661971831,0.8433098591549296,0.2567301378857518,0.4348591549295774,0.3943661971830985
celegans-male,289.0,3206.0,642,0.5343106674984405,0.6947040498442367,0.7305295950155763,0.2682470368059887,0.397196261682243,0.381619937694704
colombia-calls,863.0,438484.0,199898,0.026014632232875,0.0157030085343525,0.0151177100321163,0.0089011229600167,0.0043172017729041,0.004312199221603
colombia-mobility,863.0,173857.0,67150,0.0170887568518955,0.0181831720029784,0.0180938198064035,0.0121651702261053,0.0128369322412509,0.0128369322412509
mobility-manizales,57.0,2518.0,1237,0.2664813343923749,0.2651576394502829,0.2497978981406629,0.0766481334392374,0.0452708164915117,0.0452708164915117
mobility-medellin,413.0,33884.0,15503,0.2467241175776177,0.1897697219892924,0.205379603947623,0.0544209656475032,0.0271560343159388,0.0266400051602915
tennis-loss,2428.0,98102.0,16352,0.5824753827648774,0.5377323874755382,0.6114848336594912,0.2118611241361032,0.0912426614481409,0.077727495107632
yeast-grn,1229.0,367432.0,52478,0.0662244986827494,0.0983840847593277,0.0939250733640763,0.0154913017918961,0.0251915088227447,0.0233240596059301
bike-sharing,723.0,53115.0,18055,0.5952932316671373,0.6353918582110218,0.6767654389365827,0.0274875270639179,0.0400443090556632,0.0399889227360841
giraffe,6.0,30.0,15,0.7666666666666667,0.8,0.8666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
comorbidity,95.0,8930.0,4465,0.4743561030235162,0.5117581187010078,0.5068309070548712,0.0217245240761478,0.0210526315789473,0.0210526315789473
phone-calls,114.0,274.0,179,0.8832116788321168,0.9497206703910616,0.9553072625698324,0.7737226277372263,0.9273743016759776,0.9273743016759776
us-airports,995.0,18820.0,6933,0.2710945802337938,0.2271743833838165,0.243473243905957,0.1862911795961742,0.1339968267705178,0.133852589066782
DDI,412.0,2966.0,1483,0.5900202292650034,0.4389750505731625,0.4598786244099798,0.4049224544841537,0.2784895482130816,0.2771409305461901
us-weblinks,27725.0,372626.0,54937,0.3800352095666969,0.5996141034275625,0.579208912026503,0.2562837805198778,0.4496059122267324,0.3865336658354115
