,n-nodes,nd-edges,nu-edges,tau-metric,tau-ultrametric,tau-avg-metric,tau-avg-ultrametric,tau-max-metric,tau-max-ultrametric
business-faculty-0,84.0,2558.0,488.0,0.3924941360437842,0.0965598123534011,0.6618852459016393,0.1721311475409836,0.6290983606557377,0.1762295081967213
cs-faculty-0,78.0,1180.0,179.0,0.5830508474576271,0.1932203389830508,0.8715083798882681,0.4301675977653631,0.8156424581005587,0.4525139664804469
history-faculty-0,56.0,905.0,158.0,0.5348066298342542,0.2154696132596685,0.810126582278481,0.3481012658227848,0.7658227848101266,0.4113924050632911
caviar-proj-0,63.0,232.0,90.0,0.6594827586206896,0.5948275862068966,0.7444444444444445,0.6888888888888889,0.7555555555555555,0.6888888888888889
celegans-her-0,215.0,2748.0,558.0,0.5673216885007278,0.2536390101892285,0.8405017921146953,0.3835125448028674,0.8207885304659498,0.4247311827956989
celegans-male-0,238.0,2852.0,634.0,0.5157784011220197,0.2457924263674614,0.7271293375394322,0.3738170347003154,0.6908517350157729,0.389589905362776
colombia-calls-0,863.0,438484.0,199898.0,0.026014632232875,0.0089011229600167,0.0151177100321163,0.004312199221603,0.0157030085343525,0.0043172017729041
colombia-mobility-0,863.0,173857.0,67150.0,0.0170887568518955,0.0121651702261053,0.0180938198064035,0.0128369322412509,0.0181831720029784,0.0128369322412509
mobility-manizales-0,57.0,2518.0,1237.0,0.2664813343923749,0.0766481334392374,0.2497978981406629,0.0452708164915117,0.2651576394502829,0.0452708164915117
mobility-medellin-0,413.0,33884.0,15503.0,0.2467241175776177,0.0544209656475032,0.205379603947623,0.0266400051602915,0.1897697219892924,0.0271560343159388
tennis-loss-0,1263.0,85842.0,16349.0,0.5327345588406608,0.1286549707602339,0.6114135421126674,0.0775582604440638,0.5376475625420515,0.0910759067832895
yeast-grn-0,1225.0,366239.0,52478.0,0.0662518191672651,0.0154953459353045,0.0939250733640763,0.0233240596059301,0.0983840847593277,0.0251915088227447
bike-sharing-0,723.0,53115.0,18055.0,0.5952932316671373,0.0274875270639179,0.6767654389365827,0.0399889227360841,0.6353918582110218,0.0400443090556632
giraffe-0,6.0,30.0,15.0,0.7666666666666667,0.3333333333333333,0.8666666666666667,0.3333333333333333,0.8,0.3333333333333333
comorbidity-0,95.0,8930.0,4465.0,0.4743561030235162,0.0217245240761478,0.5068309070548712,0.0210526315789473,0.5117581187010078,0.0210526315789473
phone-calls-1,30.0,75.0,33.0,0.84,0.7466666666666667,0.9393939393939394,0.8787878787878788,0.9393939393939394,0.8787878787878788
us-airports-0,926.0,18593.0,6930.0,0.2654224708223525,0.1797988490292045,0.2431457431457431,0.1334776334776334,0.2268398268398268,0.1336219336219336
DDI-0,412.0,2966.0,1483.0,0.5900202292650034,0.4049224544841537,0.4598786244099798,0.2771409305461901,0.4389750505731625,0.2784895482130816
us-weblinks-0,18112.0,288838.0,49855.0,0.3465160401332234,0.2233743482505764,0.5658008223849162,0.3718583893290542,0.5850165479891686,0.43654598335172
