,n-nodes,n-edges,density,tau-metric,tau-ultrametric,ultrametric_metric_ratio,LSCC-nodes,LSCC-edges,LSCC-tau-metric,LSCC-tau-ultrametric,LSCC-ultrametric_metric_ratio
business-faculty,113.0,3432.0,0.2711757269279393,0.3508158508158508,0.0976107226107226,0.2782392026578073,94.0,2842.0,0.3652357494722026,0.0946516537649542,0.2591522157996146
cs-faculty,206.0,2929.0,0.0693582761070329,0.5148514851485149,0.2266985319221577,0.4403183023872679,167.0,2384.0,0.5285234899328859,0.2202181208053691,0.4166666666666667
history-faculty,145.0,2428.0,0.1162835249042145,0.414332784184514,0.2199341021416803,0.5308151093439363,116.0,1897.0,0.430152872957301,0.2087506589351608,0.4852941176470589
caviar-proj,110.0,295.0,0.024603836530442,0.7050847457627119,0.6474576271186441,0.9182692307692308,66.0,242.0,0.6611570247933884,0.5991735537190083,0.90625
celegans-her,313.0,3500.0,0.0358400917506348,0.5568571428571428,0.2677142857142857,0.4807593637762956,249.0,3046.0,0.5531845042678923,0.2567301378857518,0.4640949554896142
celegans-male,328.0,3474.0,0.0323897963750279,0.5400115141047783,0.2769142199194012,0.5127931769722814,289.0,3206.0,0.5343106674984405,0.2682470368059887,0.5020431990659661
colombia-calls,863.0,438484.0,0.5894346866405165,0.026014632232875,0.0089011229600167,0.3421583238362409,863.0,438484.0,0.026014632232875,0.0089011229600167,0.3421583238362409
colombia-mobility,863.0,173857.0,0.233708291101295,0.0170887568518955,0.0121651702261053,0.7118815213732751,863.0,173857.0,0.0170887568518955,0.0121651702261053,0.7118815213732751
mobility-manizales,57.0,2518.0,0.7888471177944862,0.2664813343923749,0.0766481334392374,0.2876304023845007,57.0,2518.0,0.2664813343923749,0.0766481334392374,0.2876304023845007
mobility-medellin,413.0,33884.0,0.1991349114929829,0.2467241175776177,0.0544209656475032,0.2205741626794258,413.0,33884.0,0.2467241175776177,0.0544209656475032,0.2205741626794258
tennis-loss,4245.0,101436.0,0.005630397351655,0.5961985882724082,0.2377656847667494,0.3988028308750578,2428.0,98102.0,0.5824753827648774,0.2118611241361032,0.3637254558818382
yeast-grn,6216.0,1666106.0,0.0431271232156187,0.0637174345449809,0.0137824364116088,0.2163055764883195,1229.0,367432.0,0.0662244986827494,0.0154913017918961,0.2339210126166112
bike-sharing,725.0,53118.0,0.1011964183654029,0.5953160887081592,0.0275236266425693,0.0462336348112073,723.0,53115.0,0.5952932316671373,0.0274875270639179,0.0461747683354944
giraffe,6.0,30.0,1.0,0.7666666666666667,0.3333333333333333,0.4347826086956521,6.0,30.0,0.7666666666666667,0.3333333333333333,0.4347826086956521
comorbidity,95.0,8930.0,1.0,0.4743561030235162,0.0217245240761478,0.0457979225684608,95.0,8930.0,0.4743561030235162,0.0217245240761478,0.0457979225684608
phone-calls,322.0,609.0,0.005891913856156,0.916256157635468,0.8489326765188834,0.9265232974910392,114.0,274.0,0.8832116788321168,0.7737226277372263,0.8760330578512397
us-airports,1075.0,18906.0,0.016375211121216,0.2743044536126097,0.1898339151592087,0.692055534130351,995.0,18820.0,0.2710945802337938,0.1862911795961742,0.6871814974519795
DDI,412.0,2966.0,0.0175158859518578,0.5900202292650034,0.4049224544841537,0.6862857142857143,412.0,2966.0,0.5900202292650034,0.4049224544841537,0.6862857142857143
us-weblinks,42800.0,505476.0,0.0002759453939551,0.367809747643805,0.2536678299266434,0.6896713084730447,27725.0,372626.0,0.3800352095666969,0.2562837805198778,0.6743685165700404
host-pathogen,10578.0,18529.0,0.0001656097548462,0.9985967942144746,0.9984348858546064,0.9998378641301412,1.0,0.0,0.0,0.0,0.0
