Node	X-Coord	Y-Coord
1107	-11872.28	18258.68
677	-34775.16	-37362.00
1438	-79074.09	-58543.39
1486	-76360.00	-59990.00
1623	-69635.49	-56621.85
1564	-72800.00	-59760.00
1626	-69720.00	-59190.00
1497	-75874.00	-56038.98
1994	-103700.84	-35029.72
1566	-72780.00	-17600.00
1877	-96465.86	-30438.29
1909	-64627.93	-55755.16
102	-63680.00	-11810.00
1837	-95640.00	-48350.00
1961	-30237.99	-27238.20
2038	-97560.00	-38070.00
409	-49990.44	-53443.98
1880	-96430.00	-45580.00
1239	6493.44	2397.38
1314	-86030.80	-40595.08
293	-55580.00	-7560.00
1082	-13300.42	-19546.64
2044	-98413.74	-26959.93
1150	-10177.03	5643.84
743	-35470.00	-820.00
1595	-72256.51	-43099.50
2008	-108153.13	-24177.25
1472	-77265.34	-35029.72
1998	-100200.00	-45860.00
638	4746.78	4072.92
522	-36359.15	17600.34
1254	-87690.00	-42280.00
1873	-93683.18	-49917.08
1170	7115.02	-3849.86
690	-37880.00	-10600.00
486	-45520.00	-21770.00
2031	-105092.18	-21672.84
1594	-71978.24	-46995.26
156	-60035.08	6384.56
777	-30249.09	-21857.82
665	-39060.00	-37900.00
1310	-85700.00	-36070.00
619	-40360.52	-18583.64
378	-52494.22	-47569.72
1815	-93961.45	-52143.22
100	-62934.52	-50334.48
1450	-78250.00	-17990.00
1370	-83665.52	-21394.57
528	-43980.00	-20830.00
255	-56740.00	-12670.00
1711	-94657.12	-21672.84
1454	-78239.28	-41151.62
1259	-87422.14	-25707.73
1871	-92930.76	2092.74
1846	-95250.00	-45100.00
2000	-108014.00	-21116.30
1132	4406.42	-14716.13
1745	-89509.15	-40595.08
1945	-41805.01	-44391.85
1952	-35449.25	11846.92
2045	-96830.00	-28220.00
2032	-103561.70	-23759.85
1735	-91410.00	-43380.00
1437	-79692.26	-19316.30
466	-43734.00	18676.08
1142	-10780.00	-8070.00
1389	-82622.53	-19499.44
742	-35660.00	-46520.00
1148	-6306.91	15475.99
110	-63180.00	-19780.00
1384	-81021.97	-41012.49
936	-21004.37	-17813.25
1582	-72305.56	-23833.79
1515	-74621.79	-42821.23
570	-42864.30	6550.46
138	-62000.00	-29080.00
1865	-96465.86	-35307.99
437	-48040.00	-20380.00
1853	-95070.00	-43000.00
2033	-100083.35	-25290.32
1465	-77350.00	-28390.00
1869	-93265.77	-42682.10
815	-27195.41	9134.79
1630	-70169.50	-46160.45
1820	-91996.23	4071.73
1599	-70726.04	-2611.45
1440	-76847.94	171.23
2018	-98720.00	-43710.00
1801	-88250.00	-46410.00
1836	-96883.26	-41569.02
1844	-95491.92	-41151.62
8	-67055.50	-25176.82
651	-38723.43	-34954.52
851	-28226.81	-19065.14
753	-34690.00	-12810.00
2028	-105370.45	-20003.23
1965	-33720.00	-11030.00
1895	-60070.00	-8210.00
731	-33042.75	14894.86
1531	-74564.30	-17423.83
1224	181.47	-8664.82
2030	-104674.78	-22785.91
2004	-108709.67	-22785.91
2009	-106066.12	-25846.86
635	-39108.63	-21087.42
410	-49990.00	-15430.00
1712	-92560.00	-21930.00
1369	-82320.00	-41200.00
1935	-43550.00	780.00
652	-39860.00	-8020.00
1398	-78239.28	-2054.92
1423	-79920.00	-18170.00
714	-34101.06	-21568.92
1854	-97718.07	-9985.56
1872	-92655.90	9404.02
694	-37730.00	210.00
710	-33715.87	-38036.09
979	-20110.00	7380.00
322	-51893.88	17338.52
1348	-84361.19	-40595.08
959	-22010.00	-9720.00
1262	-87561.27	-27238.20
1825	-93544.04	-34612.31
53	-65750.00	-18030.00
1891	-59974.03	-17606.98
1435	-77961.01	-37116.73
744	3088.58	6603.85
1749	-92709.24	-12629.11
678	-38460.00	-7390.00
1418	-79630.62	-40873.35
1316	-84520.03	6545.47
121	-63183.44	-38613.89
2010	-99248.54	-31412.23
1780	-90065.69	-32525.30
61	-65390.00	-23010.00
756	-34440.00	-2590.00
333	-53553.51	-39480.58
1439	-78100.15	-33499.24
1823	-94517.98	-11098.64
706	-36701.14	-47666.02
11	-67943.35	-1080.98
236	-58936.23	-14615.67
405	-50100.25	-9107.94
1424	-76125.33	-3243.11
365	-52260.00	-40680.00
304	-54990.00	-23300.00
454	-46908.87	-44488.14
1131	7467.38	-24594.65
2011	-101196.42	-27933.87
87	-64570.00	-20250.00
1403	-80710.00	-49600.00
1876	-99805.08	-15411.80
1284	-86390.00	-45280.00
1011	-18790.00	-11120.00
967	-20737.15	-4218.09
1354	-82274.17	-39203.74
77	-66691.15	-3307.12
923	-24210.00	-1020.00
882	-26300.00	-14110.00
92	-64390.00	-17780.00
1308	-83387.25	-34473.18
609	-41780.00	-4540.00
976	-20490.00	-10560.00
418	-51146.03	-46414.13
880	-26300.00	-15030.00
1636	-69350.00	-20950.00
1920	-50020.00	-40680.00
1458	-77710.00	-21690.00
1252	-85195.99	-38229.80
893	-25870.00	3490.00
1493	-74621.79	-5533.27
794	-31019.49	-44969.64
1625	-69445.68	-11668.36
1925	-48156.22	14789.36
579	-42479.10	5298.57
1491	-76250.00	-17600.00
461	-46490.00	-32850.00
326	-54040.00	-44870.00
553	-43200.00	10550.00
10	-67160.00	-12610.00
1736	-91400.00	-46420.00
776	-32630.00	-16190.00
1642	-68990.00	-12860.00
1273	-88396.08	-33777.51
1221	-11.13	-47666.02
282	-56827.69	-32547.04
191	9554.39	-24177.25
1548	-73310.00	-20950.00
1269	-87140.02	-17790.12
1289	-85891.66	-21533.70
837	-30152.79	-14057.58
1459	-78378.42	-54925.91
65	-65290.00	-8920.00
1731	-89648.29	-36977.60
605	-44982.88	-50362.40
261	-56490.00	-10320.00
1499	-77006.19	13771.26
539	-44693.98	-41021.37
1950	-29551.80	18298.53
359	-52710.00	-16910.00
1234	-2996.40	-15502.07
305	-55031.43	-8586.37
737	-35690.00	-11180.00
383	-51430.00	-40680.00
1258	-87550.00	-32180.00
581	-42480.00	9370.00
302	-55160.00	-35430.00
1817	-100361.62	-7342.01
1078	5240.00	-970.00
786	-30511.81	15069.41
1719	-91457.03	-34751.45
555	-324.14	-49638.81
1449	-74621.79	-2889.72
1129	-11663.34	-10013.01
1121	-11952.23	-11168.60
928	-16881.11	21876.16
1349	-83108.98	-51169.28
1329	-83365.61	9568.94
1177	-8082.46	7214.77
1960	-35370.00	-3550.00
656	6493.44	-34194.91
655	-37664.14	-21087.42
1479	-74991.63	9864.25
292	-55590.00	-5680.00
1401	-80187.16	-34055.78
535	-43880.00	2070.00
842	-28020.00	-15730.00
1306	-85454.55	9678.88
1160	3849.89	-107.04
