,n-nodes,nd-edges,nu-edges,tau-metric,tau-ultrametric,tau-avg-metric,tau-avg-ultrametric,tau-max-metric,tau-max-ultrametric
0,18112,288838,49855,0.34651604013322346,0.22337434825057645,0.5658008223849162,0.37185838932905424,0.5850165479891686,0.43654598335172
1,273,1720,374,0.55,0.48604651162790696,0.7834224598930482,0.7272727272727273,0.8048128342245989,0.732620320855615
2,31,107,44,0.6074766355140186,0.5981308411214953,0.6818181818181818,0.6818181818181818,0.7045454545454546,0.6818181818181818
3,21,385,175,0.9974025974025974,0.8701298701298701,1.0,0.5257142857142857,1.0,0.8685714285714285
4,6,14,5,1.0,1.0,1.0,1.0,1.0,1.0
5,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
6,262,3343,551,0.38857313790008974,0.32814836972778944,0.515426497277677,0.47368421052631576,0.5172413793103449,0.4900181488203267
7,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
8,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
9,88,956,226,0.30857740585774057,0.25627615062761505,0.47345132743362833,0.38495575221238937,0.4690265486725664,0.38495575221238937
10,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
11,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
12,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
13,278,3860,837,0.2821243523316062,0.21528497409326425,0.36917562724014336,0.3309438470728793,0.37037037037037035,0.3333333333333333
14,18,70,34,0.4857142857142857,0.4857142857142857,0.5,0.5,0.5,0.5
15,9,70,34,1.0,1.0,1.0,0.2647058823529412,1.0,1.0
16,30,191,44,0.5968586387434555,0.450261780104712,0.8863636363636364,0.6590909090909091,0.8636363636363636,0.75
17,12,125,59,0.192,0.184,0.1864406779661017,0.1864406779661017,0.288135593220339,0.1864406779661017
18,9,44,14,0.8636363636363636,0.8409090909090909,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7857142857142857
19,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
20,8,14,7,1.0,1.0,1.0,1.0,1.0,1.0
21,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
22,19,325,154,0.9907692307692307,0.30153846153846153,1.0,0.11688311688311688,0.9935064935064936,0.17532467532467533
23,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
24,3,5,2,1.0,0.8,1.0,1.0,1.0,1.0
25,6,26,11,0.38461538461538464,0.38461538461538464,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
26,4,9,3,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,1.0
27,4,8,3,0.75,0.75,1.0,1.0,1.0,1.0
28,10,75,30,0.9866666666666667,0.4266666666666667,0.9666666666666667,0.3,1.0,0.3
29,8,14,7,1.0,1.0,1.0,1.0,1.0,1.0
30,4,8,4,0.75,0.75,0.75,0.75,0.75,0.75
31,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
32,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
33,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
34,3,5,2,0.6,0.6,1.0,1.0,1.0,1.0
35,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
36,3,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
37,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
38,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
39,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
40,3,6,3,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
41,4,8,4,0.875,0.875,0.75,0.75,0.75,0.75
42,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
43,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
44,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
45,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
46,4,12,6,1.0,1.0,1.0,0.8333333333333334,1.0,1.0
47,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
48,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
49,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
50,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
51,14,54,21,0.7777777777777778,0.5370370370370371,0.9523809523809523,0.6190476190476191,0.9523809523809523,0.6666666666666666
52,4,9,4,0.7777777777777778,0.7777777777777778,0.75,0.75,0.75,0.75
53,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
54,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
55,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
56,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
57,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
58,12,27,11,0.8518518518518519,0.8518518518518519,1.0,1.0,1.0,1.0
59,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
60,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
61,6,11,5,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0
62,5,9,4,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0
63,12,22,11,1.0,1.0,1.0,1.0,1.0,1.0
64,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
65,3,6,3,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
66,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
67,4,8,3,1.0,1.0,1.0,1.0,1.0,1.0
68,4,11,5,0.5454545454545454,0.5454545454545454,0.6,0.6,0.6,0.6
69,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
70,30,715,290,0.558041958041958,0.24895104895104894,0.4206896551724138,0.1,0.7793103448275862,0.16896551724137931
71,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
72,7,15,6,1.0,1.0,1.0,1.0,1.0,1.0
73,7,12,6,1.0,1.0,1.0,1.0,1.0,1.0
74,4,10,4,0.6,0.6,0.75,0.75,0.75,0.75
75,8,56,28,0.25,0.25,0.25,0.25,0.35714285714285715,0.25
76,5,14,4,0.7142857142857143,0.6428571428571429,1.0,1.0,1.0,1.0
77,7,31,10,0.8709677419354839,0.45161290322580644,1.0,0.6,1.0,0.6
78,4,10,4,1.0,1.0,1.0,0.75,1.0,1.0
79,4,10,4,0.9,0.9,1.0,0.75,1.0,0.75
80,6,11,5,1.0,1.0,1.0,1.0,1.0,1.0
81,4,6,3,1.0,1.0,1.0,1.0,1.0,1.0
82,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
83,6,11,5,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0
84,4,12,6,0.5,0.5,0.5,0.5,0.5,0.5
85,3,5,2,1.0,1.0,1.0,1.0,1.0,1.0
86,3,6,3,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,1.0
87,10,70,32,0.4,0.32857142857142857,0.59375,0.28125,0.59375,0.375
88,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
89,13,156,78,1.0,0.22435897435897437,1.0,0.15384615384615385,1.0,0.15384615384615385
90,6,30,15,0.6333333333333333,0.4,0.7333333333333333,0.3333333333333333,1.0,0.3333333333333333
91,3,6,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
92,3,4,2,1.0,1.0,1.0,1.0,1.0,1.0
93,4,7,3,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0
94,4,7,3,1.0,1.0,1.0,1.0,1.0,1.0
95,3,5,2,0.8,0.8,1.0,1.0,1.0,1.0
96,4,9,3,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0
